Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16497780_1	83.70241519661914	66.0	151.0	27.27272727272727	61162150.0
SRR16497780_2	82.53326008265142	67.0	151.0	27.27272727272727	61162150.0
SRR16497780_clean_R1	83.58868291034985	67.0	143.91930889327415	18.181818181818183	59247347.0
SRR16497780_clean_R2	83.19993278081525	67.0	143.91930889327415	18.181818181818183	59247347.0
SRR16497781_1	70.78678639735682	61.0	151.0	18.181818181818183	44211438.0
SRR16497781_2	69.55638476025999	62.0	151.0	18.181818181818183	44211438.0
SRR16497781_clean_R1	70.4200673136111	62.0	141.5298515152839	9.090909090909092	43125516.0
SRR16497781_clean_R2	70.09641403526467	62.0	141.5298515152839	9.090909090909092	43125516.0
SRR16497782_1	67.4718008011134	58.0	151.0	18.181818181818183	57191275.0
SRR16497782_2	67.1538863598038	58.0	151.0	27.27272727272727	57191275.0
SRR16497782_clean_R1	67.28147972680058	59.0	142.07673734250054	9.090909090909092	56331466.0
SRR16497782_clean_R2	67.41361953228662	59.0	142.07673734250054	18.181818181818183	56331466.0
SRR16497783_1	69.92172397497825	61.0	151.0	27.27272727272727	51319499.0
SRR16497783_2	69.57951096008289	61.0	151.0	27.27272727272727	51319499.0
SRR16497783_clean_R1	69.78542986119393	62.0	141.77528457387726	18.181818181818183	50376813.0
SRR16497783_clean_R2	69.97417412408103	62.0	141.77528457387726	18.181818181818183	50376813.0
SRR16497784_1	68.56229884973015	63.0	151.0	27.27272727272727	44331778.0
SRR16497784_2	68.55758066131247	63.0	151.0	27.27272727272727	44331778.0
SRR16497784_clean_R1	68.31072870292319	64.0	141.6646017652597	18.181818181818183	43374468.0
SRR16497784_clean_R2	68.86736834371999	64.0	141.6646017652597	18.181818181818183	43374468.0
SRR16497785_1	66.05479513679617	61.0	151.0	18.181818181818183	40981356.0
SRR16497785_2	66.30561938893803	61.0	151.0	18.181818181818183	40981356.0
SRR16497785_clean_R1	65.7690102472533	61.0	140.98243419990342	9.090909090909092	40280488.0
SRR16497785_clean_R2	66.55919824681541	61.0	140.98243419990342	9.090909090909092	40280488.0
